Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"plugin.downloaded","Plugin downloaded.","2016.48","plugin"
"plugin.script_status","Status information from script execution.","2016.48","plugin"
"policy.auth_reevaluate.fail","Auth policy re-evaluation has occurred and has resulted in a continuous access violation. Can be used to identify which user, apps, and session were involved in a continuous access violation event. Event fired when continuing access evaluation results in failure.","2023.09.0","event-hook-eligible","policy","security","session"
"policy.continuous_access.action","Contionuous Access policy action invocation. Signal that an action associated with a continuous access policy evaluation has been invoked. Event fired when an action associated with a continuous access policy evaluation has been invoked.","2023.09.0","policy","security","session"
"policy.continuous_access.evaluate","Evaluation of Continuous Access Policy. Signal that continuous access policy has been evaluated for a session which has failed CAE. Event fired when continuous access policy has been evaluated for a session which has failed CAE.","2023.09.0","policy","security","session"
"policy.entity_risk.action","Entity Risk policy action invocation. Signal that an action associated with an entity risk policy evaluation has been invoked. Event fired when an action associated with an entity risk policy evaluation has been invoked.","2023.09.0","policy","security","session"
"policy.entity_risk.evaluate","Evaluation of Entity Risk policy. Signal that entity risk policy has been evaluated for an entity for which we have received a risk change event. Event fired when entity risk policy has been evaluated for an entity for which a risk change event was generated.","2023.09.0","policy","security","session"
"policy.evaluate_sign_on","Okta evaluated sign-on policies in order to determine if the user attempting to access a resource meets the defined assurance criteria. Identifies the policy rule evaluated during an authentication flow. This may be useful to confirm that policy rule has been configured as intended, or to identify why a user is unable to access a resource such as an application. The possible outcomes of this event are ALLOW(user is authenticated to access the resource), CHALLENGE(additional verification is required for user to access the resource), and DENY(user is denied from accessing the resource). For Okta Identity Engine (OIE), a single policy.evaluate_sign_on event may include the evaluation result of Okta global session policy and authentication policy. For Okta Classic Engine, the evaluation result of Okta sign-on policy and app sign-on policy will be recorded in individual policy.evaluate_sign_on events.","2017.11","policy"
"policy.execute.user.start","Start execution of policy for user.","2018.15","policy"
"policy.lifecycle.activate","Activate policy.","2016.14","event-hook-eligible","policy"
"policy.lifecycle.create","Create policy.","2016.14","policy"
"policy.lifecycle.deactivate","Deactivate policy.","2016.14","event-hook-eligible","policy"
"policy.lifecycle.delete","Delete policy.","2016.14","policy"
"policy.lifecycle.overwrite","Overwrite policy.","2017.45","policy"
"policy.lifecycle.update","Update policy.","2016.14","event-hook-eligible","policy"
"policy.mapping.create","Create policy mapping. This event is used to audit when a policy is mapped to a resource. This event is fired when a policy is mapped to a resource. The isPreviousPolicy attribute within the Policy Targets' Details denotes whether or not it was the previous or new policy being mapped.","2021.12.0","policy"
"policy.rule.action.execute","Scheduled execution of policy rule action.","2018.15","policy"
"policy.rule.activate","Activate policy rule.","2016.14","event-hook-eligible","policy"
"policy.rule.add","Add policy rule.","2016.14","event-hook-eligible","policy"
"policy.rule.deactivate","Deactivate policy rule.","2016.14","event-hook-eligible","policy"
"policy.rule.delete","Delete policy rule.","2016.14","event-hook-eligible","policy"
"policy.rule.invalidate","Invalidate policy rule.","2016.14","policy"
"policy.rule.update","Update policy rule.","2016.14","event-hook-eligible","policy"
"policy.scheduled.execute","Scheduled execution of policy.","2018.15","policy"
"scheduled_action.user_suspension.canceled","Canceled scheduled user suspension.","2017.32","uncategorized"
"scheduled_action.user_suspension.completed","Completed scheduled user suspension.","2017.32","uncategorized"
"scheduled_action.user_suspension.scheduled","Scheduled user suspension.","2017.32","uncategorized"
"scheduled_action.user_suspension.updated","Updated scheduled user suspension.","2017.32","uncategorized"
"security.authenticator.lifecycle.activate","Fired when an admin activates an authenticator for the org. This event can be used to identify who activated an authenticator and which authenticator was activated. When fired, this event contains information about the authenticator type that was activated and the actor who activated the authenticator. Authenticator activation occurs when an authenticator is added. Related events include security.authenticator.lifecycle.deactivate.","2020.06.3","authenticator","event-hook-eligible","oie-only"
"security.authenticator.lifecycle.create","Fired when an admin creates an authenticator for the org. This event can be used to identify who created an authenticator and which authenticator was created. The actor specifies the user that created the authenticator and the target specifies the authenticator name and the id. This event could also contain some authenticator specific information. Authenticator creation occurs when an authenticator is added. Related events include security.authenticator.lifecycle.update.","2022.06.0","authenticator","event-hook-eligible","oie-only"
"security.authenticator.lifecycle.deactivate","Fired when an admin deactivates an authenticator for the org. This event can be used to identify who deactivated an authenticator and which authenticator was deactivated. When fired, this event contains information about the authenticator type that was deactivated and the actor who deactivated the authenticator. Authenticator deactivation occurs when an authenticator is removed. Related events include security.authenticator.lifecycle.activate.","2020.06.3","authenticator","event-hook-eligible","oie-only"
"security.authenticator.lifecycle.update","Fired when an admin updates an authenticator in the org. This event can be used to identify who updated an authenticator and which authenticator was updated. The actor specifies the user that updated the authenticator and the target specifies the authenticator name and the ID. There may be a second target with details of any authenticator method updates. This event could also contain authenticator specific information. Authenticator update occurs when an authenticator is edited. Related events include security.authenticator.lifecycle.create.","2022.06.0","authenticator","event-hook-eligible","oie-only"
"security.device.add_request_blacklist_policy","Added request blacklist to request blacklist policies.","2018.08","device","security"
"security.device.remove_request_blacklist_policy","Removed request blacklist from request blacklist policies.","2018.08","device","security"
"security.device.temporarily_disable_blacklisting","Temporarily disabling blacklisting.","2018.05","device","security"
"security.events.provider.receive_event","Appears when a security events provider submits a valid event for each known detection. The event helps admins debug or monitor SSF provider submissions. The event contains debug context data about the provider's risk report.","2022.10.0"
"security.request.blocked","Security request blocked.","2018.32","security"
"security.session.detect_client_roaming","Roaming session detected for user.","2017.28","security","session"
"security.threat.configuration.update","Fired when a ThreatInsight configuration has been updated. This can be used to identify when an existing ThreatInsight configuration has been updated. An update can be updating the action or the excluded zones. When fired, this event contains information about who made the update to the configuration.","2019.07.0","threat-insight-configuration"
"security.threat.detected","Request from an IP identified as malicious by Okta ThreatInsight. This can be used to monitor and act on credential based attacks (such as Brute Force, Password Spray) on your organization. The reasons why the request was classified as malicious can be found in the outcome.reason field. The outcome.result field will be 'ALLOW', 'DENY' or 'RATE_LIMIT' based on whether Okta Threat Insight is configured in log mode or log and enforce mode, where 'ALLOW' means the request continued, 'DENY' means the request was blocked and 'RATE_LIMIT' means we protected your org from exceeding your rate limit by not allowing suspicious activity to count towards your rate limit.","2019.02.2","security","threat-insight"
"security.trusted_origin.activate","A trusted origin is activated. When an event is emitted upon the activation of a trusted origin, customers can monitor these events and take remedial action. Event is triggered when a trusted origin is activated.","2024.05.0","event-hook-eligible","trusted-origins"
"security.trusted_origin.create","A trusted origin is created. When an event is emitted upon the creation of a trusted origin, customers can monitor these events and take remedial action. Event is triggered when a trusted origin is created.","2024.05.0","event-hook-eligible","trusted-origins"
"security.trusted_origin.deactivate","A trusted origin is deactivated. When an event is emitted upon the deactivation of a trusted origin, customers can monitor these events and take remedial action. Event is triggered when a trusted origin is deactivated.","2024.05.0","event-hook-eligible","trusted-origins"
"security.trusted_origin.delete","A trusted origin is deleted. When an event is emitted upon the deletion of a trusted origin, customers can monitor these events and take remedial action. Event is triggered when a trusted origin is deleted.","2024.05.0","event-hook-eligible","trusted-origins"
"security.trusted_origin.update","A trusted origin is updated. When an event is emitted upon the modification of a trusted origin, customers can monitor these events and take remedial action. Event is triggered when a trusted origin is updated.","2024.05.0","event-hook-eligible","trusted-origins"
"security.voice.add_country_blacklist","Fired when a country has been added to the voice call blacklist. This can be used to identify when a country has been blacklisted for voice call. When fired, this event contains information about the country that was added to the blacklist.Related events include security.voice.remove_country_blacklist.","2019.03.3","security","voice"
"security.voice.remove_country_blacklist","Fired when a country has been removed from the voice call blacklist. This can be used to identify when a country has been removed from voice call blacklist. When fired, this event contains information about the country that was removed from the blacklist.Related events include security.voice.add_country_blacklist.","2019.03.3","security","voice"
"security.zone.make_blacklist","Added IPs to blacklist zone.","2017.06","network-zone","security"
"security.zone.remove_blacklist","Removed IPs from blacklist zone.","2017.06","network-zone","security"
"self_service.disabled","Self-service disabled for app.","2017.48","self-service"
"self_service.enabled","Self-service enabled for app.","2017.48","self-service"
"support.org.update","Okta has updated the configuration or data within the Org. This can be used to identify modifications to an Org which are the result of an action by an Okta staff member. Such actions are typically taken in response to a customer request, such as request to enable an Early Access feature. In some cases, these actions may be the result of a review initiated by Okta, such as a review in response to a production service alert. See the supportAction object within the debugContext.debugData objection for more information about the type of update.","2022.06.2","support-audit"
"support.org.view","Okta has viewed a page which contains customer data. This can be used to identify an action taken by an Okta staff member in the support tool which resulted in a view of customer data. Such actions are typically taken in response to a customer request, such as in the process of investigating an issue raised through a support case. In some cases, these actions may be the result of a review initiated by Okta, such as a review in response to a production service alert. See the supportAction object within the debugContext.debugData objection for more information about the type of update.","2022.06.2","support-audit"
"system.agent.ad.connect","Connect AD agent to Okta.","2016.20","ad-agent"
"system.agent.ad.create","Create AD agent.","2016.20","ad-agent"
"system.agent.ad.deactivate","Deactivate AD agent.","2016.20","ad-agent"
"system.agent.ad.delete","Delete AD agent.","2016.20","ad-agent"
"system.agent.ad.import_ou","Perform import OU by AD agent.","2016.20","ad-agent"
"system.agent.ad.import_user","Perform import user by AD agent.","2016.20","ad-agent"
"system.agent.ad.invoke_dir","Perform directory invoke command by AD agent.","2016.20","ad-agent"
"system.agent.ad.reactivate","Reactivate AD agent.","2016.20","ad-agent"
"system.agent.ad.read_config","Perform config read by AD agent.","2016.20","ad-agent"
"system.agent.ad.read_dirsync","Perform dirsync read by AD agent.","2016.20","ad-agent"
"system.agent.ad.read_ldap","Perform LDAP read by AD agent.","2016.20","ad-agent"
"system.agent.ad.read_schema","Perform schema read by AD agent.","2016.20","ad-agent"
"system.agent.ad.read_topology","Directory agent performed topology import operation.","2016.20","ad-agent"
"system.agent.ad.realtimesync","Perform RealTimeSync by AD agent.","2016.20","ad-agent"
"system.agent.ad.reset_user_password","Perform user password reset by AD agent.","2016.20","ad-agent"
"system.agent.ad.start","Start AD agent.","2016.20","ad-agent"
"system.agent.ad.unlock_user_account","Perform unlock user account by AD agent.","2016.20","ad-agent"
"system.agent.ad.update","Update AD agent configuration.","2016.20","ad-agent"
"system.agent.ad.update_user","User Auth and Update.","2016.20","ad-agent"
"system.agent.ad.upgrade","Upgrade AD agent.","2016.20","ad-agent"
"system.agent.ad.upload_iwa_log","Fired when an AD agent has fetched and uploaded IWA agent log file. This event fires when the log file upload is successful or fails. This can be used to audit that logs files are being fetched successfully, have been uploaded successfully, and troubleshoot why an IWA log upload has failed. When fired, this event indicates whether a log file upload has been successful or failed. This event also indicates whether the event was initiated by the Okta system or a user. Related events: none, all debugging context is included in this event.","2019.02.1","ad-agent"
"system.agent.ad.upload_log","Upload AD agent log.","2016.20","ad-agent"
"system.agent.ad.write_ldap","Perform LDAP write by AD agent.","2016.20","ad-agent"
"system.agent.auto_update","Fired when an individual agent auto-update succeeds or fails. Confirms a successful agent auto-update, or provides troubleshooting information when the agent auto-update is unsuccessful. Indicates when an agent auto-update is successful or unsuccessful.","2021.10.0","ad-agent","agent-pool"
"system.agent.connector.connect","Connect connector agent to Okta.","2016.20","connector-agent"
"system.agent.connector.deactivate","Deactivate connector agent.","2016.20","connector-agent"
"system.agent.connector.delete","Delete connector agent.","2016.20","connector-agent"
"system.agent.connector.reactivate","Reactivate connector agent.","2016.20","connector-agent"
"system.agent.ldap.change_user_password","Perform change user password by LDAP agent.","2016.20","ldap-app"
"system.agent.ldap.create_user_JIT","Perform create user JIT by LDAP agent.","2016.20","ldap-app"
"system.agent.ldap.disconnect","Disconnect LDAP agent from Okta.","2016.20","ldap-app"
"system.agent.ldap.realtimesync","Fired when LDAP Delegated Authentication is used to sign in and a user profile is updated using RealTimeSync action. Can be used by admins to identify user profile changes resulting from corresponding changes in the LDAP directory. The previous name for this event was system.agent.ad.realtimesync.","2022.02.0","ldap-app"
"system.agent.ldap.reconnect","Reconnect LDAP agent to Okta.","2016.20","ldap-app"
"system.agent.ldap.reset_user_password","LDAP agent performed a password reset.","2016.20","ldap-app"
"system.agent.ldap.unlock_user_account","LDAP agent performed account unlock for User.","2016.45","ldap-app"
"system.agent.ldap.update_user","Fired when LDAP Delegated Authentication is used to sign in and a user profile is updated. Can be used by admins to identify user profile changes resulting from corresponding changes in the LDAP directory. The previous name for this event was system.agent.ad.update_user.","2021.10.0","ldap-app"
"system.agent.ldap.update_user_password","Perform update user password by LDAP agent.","2016.20","ldap-app"
"system.agent_pools.auto_update","Fired when the status of an agent pool auto-update is changed. Confirms an agent pool auto-update status change and provides troubleshooting information. Indicates when the status of an agent pool auto-update is changed.","2021.10.0","ad-agent","agent-pool"
"system.api_token.create","Create API token.","2016.12","event-hook-eligible","token"
"system.api_token.enable","Enable API token.","2016.12","token"
"system.api_token.revoke","Revoke API token.","2016.12","event-hook-eligible","token"
"system.api_token.update","An API token has been updated. This event can be used to identify a change to an existing API token, such as a change to the applicable rate limits for the token. Details of the change can be found in the debugData. This event does not change whether the token is valid for use, for actions that impact validity see system.api_token.enable and system.api_token.revoke.","2022.07.0","token"
"system.beta.feature.enable","Fired when an admin has enabled a BETA feature. This can be used to understand the status of the BETA Feature and identify who has enabled it for an org. When fired, this event contains information about the enabled BETA Feature, as well as the admin who enabled it.","2019.07.1","admin","self-service-feature-management","system"
"system.billing.sms_usage_sent","Indicates that a report for SMS usage was sent to the billing system.","2018.36","admin","billing"
"system.brand.create","This event is fired when the brand resource is created. Developer and org admins can use this event to identify when the brand resource was created. The event contains information about the created brand.","2023.01.0","admin"
"system.brand.delete","This event is fired when a brand resource is deleted. Developer and org admins can use this event to identify when a brand resource was deleted. The event contains information about a deleted brand.","2023.01.0","admin"
"system.brand.update","This event is fired when the brand resource is updated. Developer and org admins can use this event to identify when the brand resource was updated. The event contains information regarding specific updates made to brand like ""customPrivacyPolicyUrl"".","2021.08.0","admin"
"system.captcha.create","A captcha instance is created for Sign-in Widget. Indicates when a captcha instance was created. This event is fired when org admin creates a captcha instance.","2021.05.1","captcha","system"
"system.captcha.delete","A captcha instance is deleted. Indicates when a captcha instance was deleted. This event is fired when org admin deletes a captcha instance.","2021.05.1","captcha","system"
"system.captcha.update","A captcha instance is updated. Indicates when a captcha instance was updated. This event is fired when org admin updates a captcha instance.","2021.05.1","captcha","system"
"system.client.concurrency_rate_limit.notification","Notify when too many requests in flight for client. This can be used to notify whenever there are too many concurrent requests from a client without enforcing any violation. When fired, this event contains information about the request such as client, device and ip details.","2020.09.4","system"
"system.client.concurrency_rate_limit.violation","Too many requests in flight for client. This can be used to track if there are too many concurrent requests from a client. When fired, this event contains information about the request such as client, device and ip details.","2020.06.1","system"
"system.client.rate_limit.notification","Notify when client rate limits are exceeded. This can be used to notify whenever a client is exceeding its rate limit without enforcing any violation. When fired, this event contains information about the request such as client, device and ip details.","2020.09.4","system"
"system.client.rate_limit.violation","Client rate limit violation. This can be used to track if a client is exceeding its rate limit. When fired, this event contains information about the request such as client, device and ip details.","2020.06.1","system"
"system.csv.import_user","Import of user from CSV is skipped. Informs when import of a user from CSV has been skipped due to reasons such as missing required attributes or unknown unique identifier. This event is logged when import of a user is skipped during CSV directory import workflow for on-premises systems using Okta provisioning agent.","2018.28","system"
"system.custom_error.delete","Custom error page is deleted. Can be used to identify when an admin has deleted the custom error page. Event fired when the custom error page is deleted.","2023.01.0","admin"
"system.custom_error.update","Custom error page is updated. Can be used to identify when an admin has customized the error page. Event fired when the error page is successfully updated.","2020.12.0","admin"
"system.custom_signin.delete","Custom sign-in page is deleted. Can be used to identify when an admin has deleted the custom sign-in page. Event fired when custom sign-in page is deleted.","2023.01.0","admin"
"system.custom_signin.update","Custom sign-in page is updated. Can be used to identify when an admin has customized the sign-in page. Event fired when custom sign-in page is updated.","2020.12.0","admin"
"system.custom_signout.update","Custom sign-out page is updated. Admin has updated the custom sign-out page. Event fired when custom sign-out page is updated.","2023.01.0","admin"
"system.custom_url_domain.cert_renew","Okta managed certificates for custom domain are renewed. Can be used to identify when okta managed certificate renewal batch job has renewed certificates for custom domain. When fired, the event contains information about the domain name and certificate source type.","2021.11.0","system"
"system.custom_url_domain.cert_upload","Custom domain certificates are uploaded by an admin or generated by Okta. Can be used to identify when custom domain certificates are uploaded by an admin or generated by Okta. When fired, the event contains information about the domain name and certificate source type.","2020.12.0","admin","system"
"system.custom_url_domain.delete","Custom domain is deleted. Can be used to identify when an admin has deleted their custom domain. When fired, the event contains information about the domain name that was deleted.","2021.11.0","admin"
"system.custom_url_domain.initiate","Custom domain setup is initiated. Admin has initiated custom domain setup by inputting their custom domain for DNS verification. When fired, the event contains information about the domain name, certificate source type and domain validation status.","2020.12.0","admin"
"system.custom_url_domain.update","Custom domain brand association is updated. Admin has updated the custom domain association with the brand. When fired, the event contains the domain name, certificate source type, domain validation status and information about the brand it is associated with.","2023.01.0","admin"
"system.custom_url_domain.verify","Custom domain name ownership successfully verified by Okta. Identifies when an admin has successfully verified the ownership of the domain name. When fired, the event contains information about the domain name, certificate source type and domain validation status.","2020.12.0","admin"
"system.directory.debugger.extend","Extend Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access extension. When fired, this event contains information about Directory Debugger access extension.","2019.09.0","agent"
"system.directory.debugger.grant","Grant Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access grants to Okta support. When fired, this event contains information about Directory Debugger access grant.","2019.09.0","agent"
"system.directory.debugger.query_executed","A read-only query executed against AD/LDAP instance by Okta support using the Directory Debugger tool. This can be used to audit the queries executed by Okta support using Directory Debugger. When fired, this event contains information about Directory Debugger query.","2019.09.0","agent"
"system.directory.debugger.revoke","Revoke Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access revoke. When fired, this event contains information about Directory Debugger access revoke.","2019.09.0","agent"
"system.email.account_unlock.sent_message","Send self-service account unlock email.","2016.13","email"
"system.email.challenge_factor_redeemed","This event indicates that a user completed an email factor challenge. This can be used to identify when a credential sent in an email to a user has been redeemed (the link was clicked or the code was entered). When fired, this event contains information about the result. Success if successful or error reasons should be present for failure cases (e.g. incorrect code, timeout, expired, etc.). The event also contains a debugData with the action (the link was clicked or the code was entered).","2019.07.0","email"
"system.email.delivery","An email's delivery status was updated. Used to notify admins of a bounced or dropped email. For certain bounce events, the context information may be lost by the email provider(s) due to email server communication delays. Such delayed bounce events will not appear in syslog. As of the 2022.08.0 release, this is also used to identify other email events e.g. delivered, deferred. See the event debugData for help identifying a remediation, such as updating an incorrect email address.","2022.05.0","email","event-hook-eligible"
"system.email.mfa_enroll_notification.sent_message","MFA enrollment notification email sent. Used to notify admins MFA enrollment notification email has been sent.","2019.01.1","email"
"system.email.mfa_reset_notification.sent_message","MFA reset notification email sent. Used to notify admins MFA reset notification email has been sent.","2019.01.1","email"
"system.email.new_device_notification.sent_message","New device signin notification email sent.","2016.13","email"
"system.email.password_reset.sent_message","Send self-service password reset email.","2016.13","email"
"system.email.send_factor_verify_message","An email was sent to a user for verification. Used to notify admins that an email was sent to a user for verification. When fired, this event contains information about the token lifetime in the debugData.","2019.07.0","email"
"system.email.template.create","This event is fired when a custom email template is created. Developers and Org Admins can use this to identify when a default email template has been overridden with a new template. The event details can be used to identify the template type and template engine. Usually this event will precede ""system.email.template.update"" or ""system.email.template.delete"" events.","2021.07.0","admin","email"
"system.email.template.delete","This event is fired when a custom email template is deleted. Developers and Org Admins can use this to identify when a custom email template has been deleted to fall back to default template. The event details can be used to identify the template type and template engine. Usually this event will follow ""system.email.template.create"" or ""system.email.template.update"" events.","2021.07.0","admin","email"
"system.email.template.settings_changed","This event is fired when the settings for an email template is changed. Developers and Org Admins can use this to identify when an email template setting has been changed. When fired, this event contains information about the email template and settings that were changed.","2022.05.0","admin","email"
"system.email.template.update","This event is fired when a custom email template has been updated. Developers and Org Admins can use this to identify when a custom email template has been updated. The event details can be used to identify the template type and template engine. Usually this event will follow ""system.email.template.create"" and precede ""system.email.template.delete"" events.","2020.03.0","admin","email"
"system.email_domain.create","Email domain is created. Admin has initiated email domain setup by inputting their domain details for DNS verification. When fired, the event contains information about the domain name, display name, user name, brand id and validation status.","2023.01.0","admin"
"system.email_domain.delete","Email domain is deleted. Can be used to identify when an admin has deleted their email domain. When fired, the event contains information about the email domain that was deleted.","2023.01.0","admin"
"system.email_domain.update","Email domain is updated. Admin has updated the email domain. When fired, the event contains information about the email domain that was updated.","2023.01.0","admin"
"system.email_domain.verify","Email domain is successfully verified by Okta. Identifies when an admin has successfully verified the email domain. When fired, the event contains information about the email domain that was verified.","2023.01.0","admin"
"system.feature.disable","Fired when self service features are requested to be disabled by admins. Use to determine who enabled the features and any limitations the features have. When fired, this event contains information about the requested features, their names and lifecycle state, the admin who made the change, and any possible limitations associated with the features. Related events include 'system.feature.enable'.","2019.05.0","admin","self-service-feature-management","system"
"system.feature.ea_auto_enroll","Fired when an org has subscribed to or unsubscribed from EA Feature Auto Enroll. This can be used to understand the status of EA Feature Auto Enroll subscription and identify who has made changes to the subscription. When fired, this event contains information about the status of EA Feature Auto enroll subscription, as well as the admin who made any subscription changes.","2019.03.1","admin","self-service-feature-management","system"
"system.feature.enable","Fired when self service features are requested to be enabled by admins. Use to determine who enabled the features and any limitations the features have. When fired, this event contains information about the requested features, their names and lifecycle state, the admin who made the change, and any possible limitations associated with the features. Related events include 'system.feature.disable'.","2019.05.0","admin","self-service-feature-management","system"
"system.hook.key.created","Create a new hook key. This event can be used to identify when an admin created a new hook key. When triggered, this events contains information about the created hook key.","2022.10.2","hook-key"
"system.hook.key.deleted","Delete a hook key. This event can be used to identify when an admin deleted a hook key. When triggered, this events contains information about the deleted hook key.","2022.10.2","hook-key"
"system.hook.key.updated","Update a hook key. This event can be used to identify when an admin updated a hook key. When triggered, this events contains information about the updated hook key.","2022.10.2","hook-key"
